run_id,scheduler,seed,total_jobs,completed_jobs,failed_jobs,rejected_jobs,deadline_misses,average_wait_time,average_completion_time,gpu_utilization,total_cost
0,fcfs,42,39,36,3,0,0,0.0,6.6944,18.0729,788.52
1,fcfs,43,39,37,2,0,0,0.0,6.5135,22.2143,860.96
2,fcfs,44,39,28,11,0,0,0.0,6.8571,24.0476,629.05
3,fcfs,45,39,36,3,0,0,0.0,7.3889,12.7976,1168.31
4,fcfs,46,39,35,4,0,1,0.8718,8.8571,49.2574,812.86
5,fcfs,47,39,37,2,0,0,0.0769,6.2703,29.588,903.21
6,fcfs,48,39,34,5,0,0,0.0,6.5,19.6875,987.21
7,fcfs,49,39,38,1,0,0,0.0,7.3158,19.0776,788.52
8,fcfs,50,39,33,6,0,0,0.0,6.9697,32.516,1094.55
9,fcfs,51,39,32,7,0,0,0.641,7.9688,39.9306,684.0
10,fcfs,52,39,35,4,0,0,0.0,5.9429,24.7794,780.23
11,fcfs,53,39,38,1,0,2,3.2308,10.2895,55.1515,1309.5
12,fcfs,54,39,36,3,0,0,0.0,6.2778,19.6929,751.55
13,fcfs,55,39,37,2,0,0,0.0,7.5135,20.8333,921.77
14,fcfs,56,39,35,4,0,0,0.0,5.9429,19.6793,476.66
15,fcfs,57,39,35,4,0,0,0.0,6.0,35.5422,610.55
16,fcfs,58,39,37,2,0,0,0.0513,6.4595,25.9174,911.15
17,fcfs,59,39,32,7,0,0,0.0,5.6875,10.9007,545.53
18,fcfs,60,39,33,6,0,0,0.0,7.3333,23.0952,901.29
19,fcfs,61,39,36,3,0,0,0.0513,8.1667,35.0962,735.81
20,fcfs,62,39,35,4,0,0,0.0,5.7714,17.4375,417.75
21,fcfs,63,39,36,3,0,0,0.0,6.7222,22.0588,415.25
22,fcfs,64,39,35,4,0,0,0.0,5.6857,11.6667,507.76
23,fcfs,65,39,37,2,0,3,2.9744,10.2703,55.8442,1148.56
24,fcfs,66,39,36,3,0,0,0.0,7.2778,21.6234,903.56
25,fcfs,67,39,34,5,0,0,0.0,6.8235,17.987,1082.3
26,fcfs,68,39,36,3,0,0,1.2308,7.8889,37.2664,1350.29
27,fcfs,69,39,35,4,0,0,3.8718,11.2857,54.4872,1233.12
28,fcfs,70,39,37,2,0,0,0.0,7.0541,28.7801,1234.22
29,fcfs,71,39,33,6,0,0,0.359,7.7879,34.9462,718.91
0,edf,42,39,38,1,0,0,0.0,6.7368,18.1959,780.9
1,edf,43,39,37,2,0,0,0.0,6.6757,22.5714,882.76
2,edf,44,39,28,11,0,0,0.0,7.2143,24.3884,652.17
3,edf,45,39,36,3,0,0,0.0,6.8333,12.7315,1104.43
4,edf,46,39,33,6,0,1,1.0256,9.6364,51.8939,900.99
5,edf,47,39,36,3,0,0,0.0256,6.5833,28.9815,876.37
6,edf,48,39,34,5,0,0,0.0,5.2941,17.513,834.67
7,edf,49,39,36,3,0,0,0.0,7.5,19.1589,799.77
8,edf,50,39,33,6,0,0,0.0,6.8182,33.0357,1065.99
9,edf,51,39,32,7,0,0,0.9231,8.375,40.7407,718.65
10,edf,52,39,35,4,0,0,0.0,6.0286,20.974,757.92
11,edf,53,39,37,2,0,0,2.0256,8.4595,51.6181,1141.17
12,edf,54,39,36,3,0,0,0.0,6.3056,19.2857,761.11
13,edf,55,39,36,3,0,0,0.0,6.8333,20.2241,838.6
14,edf,56,39,35,4,0,0,0.0,5.9143,19.1877,485.02
15,edf,57,39,34,5,0,0,0.0,6.1471,35.4118,598.44
16,edf,58,39,36,3,0,0,0.0513,6.7222,26.3492,913.85
17,edf,59,39,33,6,0,0,0.0,6.3939,9.9189,552.08
18,edf,60,39,35,4,0,0,0.0,6.9143,21.3303,833.52
19,edf,61,39,37,2,0,0,0.0,7.4054,33.3981,722.78
20,edf,62,39,35,4,0,0,0.0,6.0571,17.3256,444.91
21,edf,63,39,37,2,0,0,0.0,6.1622,20.7214,393.2
